Freq.	gain	phase
1.00000000000000e-02	-1.73345120654318e-03	-1.14464769398991e+00
1.02329299228075e-02	-1.81512917524109e-03	-1.17130262057458e+00
1.04712854805090e-02	-1.90065486162805e-03	-1.19857789515136e+00
1.07151930523761e-02	-1.99020944428705e-03	-1.22648792995528e+00
1.09647819614318e-02	-2.08398262517116e-03	-1.25504747024431e+00
1.12201845430196e-02	-2.18217302983216e-03	-1.28427160186505e+00
1.14815362149688e-02	-2.28498862635312e-03	-1.31417575898098e+00
1.17489755493953e-02	-2.39264716388167e-03	-1.34477573196613e+00
1.20226443461741e-02	-2.50537663164719e-03	-1.37608767546690e+00
1.23026877081238e-02	-2.62341573943289e-03	-1.40812811663495e+00
1.25892541179417e-02	-2.74701442048450e-03	-1.44091396353384e+00
1.28824955169313e-02	-2.87643435789514e-03	-1.47446251372226e+00
1.31825673855641e-02	-3.01194953554049e-03	-1.50879146301660e+00
1.34896288259165e-02	-3.15384681473583e-03	-1.54391891443551e+00
1.38038426460288e-02	-3.30242653774452e-03	-1.57986338732917e+00
1.41253754462275e-02	-3.45800315942410e-03	-1.61664382669587e+00
1.44543977074593e-02	-3.62090590826692e-03	-1.65427961268855e+00
1.47910838816821e-02	-3.79147947822563e-03	-1.69279057031361e+00
1.51356124843621e-02	-3.97008475269735e-03	-1.73219697932462e+00
1.54881661891248e-02	-4.15709956217349e-03	-1.77251958431314e+00
1.58489319246111e-02	-4.35291947707225e-03	-1.81377960499890e+00
1.62181009735893e-02	-4.55795863737592e-03	-1.85599874672150e+00
1.65958690743756e-02	-4.77265062075312e-03	-1.89919921113556e+00
1.69824365246174e-02	-4.99744935092572e-03	-1.94340370711119e+00
1.73780082874937e-02	-5.23283004807078e-03	-1.98863546184150e+00
1.77827941003892e-02	-5.47929022325801e-03	-2.03491823215859e+00
1.81970085860998e-02	-5.73735071881070e-03	-2.08227631605937e+00
1.86208713666287e-02	-6.00755679674226e-03	-2.13073456444230e+00
1.90546071796325e-02	-6.29047927742998e-03	-2.18031839305587e+00
1.94984459975804e-02	-6.58671573076505e-03	-2.23105379465951e+00
