Freq.	gain	phase
1.00000000000000e-02	-1.73518427663390e-03	-1.14464746545709e+00
1.02329299228075e-02	-1.81694388825295e-03	-1.17130237570186e+00
1.04712854805090e-02	-1.90255506198135e-03	-1.19857763277068e+00
1.07151930523761e-02	-1.99219915726330e-03	-1.22648764881512e+00
1.09647819614318e-02	-2.08606606541261e-03	-1.25504716900370e+00
1.12201845430196e-02	-2.18435461022421e-03	-1.28427127908722e+00
1.14815362149688e-02	-2.28727296734095e-03	-1.31417541312650e+00
1.17489755493953e-02	-2.39503910320393e-03	-1.34477536138557e+00
1.20226443461741e-02	-2.50788123453454e-03	-1.37608727839299e+00
1.23026877081238e-02	-2.62603830928509e-03	-1.40812769117416e+00
1.25892541179417e-02	-2.74976051003324e-03	-1.44091350765737e+00
1.28824955169313e-02	-2.87930978090132e-03	-1.47446202525638e+00
1.31825673855641e-02	-3.01496037903691e-03	-1.50879093963233e+00
1.34896288259165e-02	-3.15699945183049e-03	-1.54391835363749e+00
1.38038426460288e-02	-3.30572764102634e-03	-1.57986278644383e+00
1.41253754462275e-02	-3.46145971499111e-03	-1.61664318285871e+00
1.44543977074593e-02	-3.62452523041424e-03	-1.65427892283049e+00
1.47910838816821e-02	-3.79526922481038e-03	-1.69278983114643e+00
1.51356124843621e-02	-3.97405294121797e-03	-1.73219618732530e+00
1.54881661891248e-02	-4.16125458659903e-03	-1.77251873570714e+00
1.58489319246111e-02	-4.35727012544689e-03	-1.81377869574221e+00
1.62181009735893e-02	-4.56251411025075e-03	-1.85599777248142e+00
1.65958690743756e-02	-4.77742055047057e-03	-1.89919816727014e+00
1.69824365246174e-02	-5.00244382177824e-03	-1.94340258864716e+00
1.73780082874937e-02	-5.23805961743150e-03	-1.98863426345069e+00
1.77827941003892e-02	-5.48476594364557e-03	-2.03491694813261e+00
1.81970085860998e-02	-5.74308416099690e-03	-2.08227494028254e+00
1.86208713666287e-02	-6.01356007393634e-03	-2.13073309036262e+00
1.90546071796325e-02	-6.29676507055302e-03	-2.18031681365399e+00
1.94984459975804e-02	-6.59329731490562e-03	-2.23105210241539e+00
1.99526231496888e-02	-6.90378299424044e-03	-2.28296553825434e+00
2.04173794466953e-02	-7.22887762360356e-03	-2.33608430471067e+00
2.08929613085404e-02	-7.56926741036087e-03	-2.39043620005228e+00
2.13796208950223e-02	-7.92567068136343e-03	-2.44604965028206e+00
2.18776162394955e-02	-8.29883937549940e-03	-2.50295372235508e+00
2.23872113856834e-02	-8.68956060456551e-03	-2.56117813760427e+00
2.29086765276777e-02	-9.09865828547621e-03	-2.62075328537249e+00
2.34422881531992e-02	-9.52699484694627e-03	-2.68171023684841e+00
2.39883291901949e-02	-9.97547301395514e-03	-2.74408075910296e+00
2.45470891568503e-02	-1.04450376733660e-02	-2.80789732932240e+00
2.51188643150958e-02	-1.09366778242762e-02	-2.87319314923377e+00
2.57039578276886e-02	-1.14514286167678e-02	-2.94000215971705e+00
2.63026799189538e-02	-1.19903734829052e-02	-3.00835905559847e+00
2.69153480392691e-02	-1.25546463639439e-02	-3.07829930061768e+00
2.75422870333816e-02	-1.31454340378900e-02	-3.14985914256120e+00
2.81838293126445e-02	-1.37639785517261e-02	-3.22307562855333e+00
2.88403150312660e-02	-1.44115797627063e-02	-3.29798662049457e+00
2.95120922666638e-02	-1.50895979933805e-02	-3.37463081063661e+00
3.01995172040201e-02	-1.57994568051195e-02	-3.45304773728172e+00
3.09029543251359e-02	-1.65426458950766e-02	-3.53327780059279e+00
3.16227766016837e-02	-1.73207241217611e-02	-3.61536227849925e+00
3.23593656929628e-02	-1.81353226644664e-02	-3.69934334268221e+00
3.31131121482591e-02	-1.89881483221259e-02	-3.78526407462076e+00
3.38844156139202e-02	-1.98809869571751e-02	-3.87316848167952e+00
3.46736850452531e-02	-2.08157070903437e-02	-3.96310151321562e+00
3.54813389233575e-02	-2.17942636523742e-02	-4.05510907668146e+00
3.63078054770101e-02	-2.28187018988980e-02	-4.14923805369719e+00
3.71535229097172e-02	-2.38911614949016e-02	-4.24553631606476e+00
3.80189396320561e-02	-2.50138807753077e-02	-4.34405274169289e+00
3.89045144994280e-02	-2.61892011885114e-02	-4.44483723039972e+00
3.98107170553497e-02	-2.74195719297683e-02	-4.54794071955691e+00
4.07380277804112e-02	-2.87075547715743e-02	-4.65341519953642e+00
4.16869383470335e-02	-3.00558290983132e-02	-4.76131372891752e+00
4.26579518801592e-02	-3.14671971526360e-02	-4.87169044940865e+00
