Freq.	Gain	Phase
1.00000000000000e-02	-3.93638471847141e-12	-6.62615999999848e-05
1.25892541179417e-02	-6.23437707126924e-12	-8.34184120661100e-05
1.58489319246111e-02	-9.87953489484404e-12	-1.05017558761521e-04
1.99526231496888e-02	-1.56654996941723e-11	-1.32209273409421e-04
2.51188643150958e-02	-2.48246819715167e-11	-1.66441613969874e-04
3.16227766016838e-02	-3.93455249629298e-11	-2.09537577406531e-04
3.98107170553497e-02	-6.23534139875594e-11	-2.63792180922514e-04
5.01187233627272e-02	-9.88252431004096e-11	-3.32094679995250e-04
6.30957344480194e-02	-1.56627995773930e-10	-4.18082431766259e-04
7.94328234724282e-02	-2.48240069426094e-10	-5.26334597572425e-04
1.00000000000000e-01	-3.93433070105586e-10	-6.62615999984757e-04
1.25892541179417e-01	-6.23552462117602e-10	-8.34184120630990e-04
1.58489319246111e-01	-9.88265931639228e-10	-1.05017558755513e-03
1.99526231496888e-01	-1.56629249412347e-09	-1.32209273397434e-03
2.51188643150958e-01	-2.48240840919993e-09	-1.66441613945956e-03
3.16227766016838e-01	-3.93435095273461e-09	-2.09537577358809e-03
3.98107170553498e-01	-6.23552365886295e-09	-2.63792180827297e-03
5.01187233627273e-01	-9.88264292788527e-09	-3.32094679805265e-03
6.30957344480194e-01	-1.56629326685644e-08	-4.18082431387189e-03
7.94328234724282e-01	-2.48240744806507e-08	-5.26334596816081e-03
1.00000000000000e+00	-3.93435038215757e-08	-6.62615998475653e-03
1.25892541179417e+00	-6.23552551122907e-08	-8.34184117619931e-03
1.58489319246112e+00	-9.88264182129159e-08	-1.05017558154728e-02
1.99526231496888e+00	-1.56629318313365e-07	-1.32209272198709e-02
2.51188643150958e+00	-2.48240734498520e-07	-1.66441611554187e-02
3.16227766016838e+00	-3.93435044306547e-07	-2.09537572586602e-02
3.98107170553498e+00	-6.23552509549881e-07	-2.63792171305491e-02
5.01187233627273e+00	-9.88264093865269e-07	-3.32094660806766e-02
6.30957344480194e+00	-1.56629294186015e-06	-4.18082393480203e-02
