Freq(Hz)	Mag_Ideal(dB)	Phase_Ideal(deg)	Mag_Real(dB)	Phase_Real(deg)
1.00000000000000e-02	-3.00570267928858e+01	-9.01125026860859e+01	-3.04116012394275e+01	-9.01080025881434e+01
1.25892541179417e-02	-2.80570334523774e+01	-9.01416324350501e+01	-2.84116073768061e+01	-9.01359671537757e+01
1.58489319246111e-02	-2.60570440069416e+01	-9.01783045611642e+01	-2.64116171038799e+01	-9.01711724073346e+01
1.99526231496888e-02	-2.40570607347519e+01	-9.02244719227032e+01	-2.44116325202132e+01	-9.02154930984093e+01
2.51188643150958e-02	-2.20570872464271e+01	-9.02825929680015e+01	-2.24116569533551e+01	-9.02712893486150e+01
3.16227766016838e-02	-2.00571292643060e+01	-9.03557625912546e+01	-2.04116956770252e+01	-9.03415322786924e+01
3.98107170553497e-02	-1.80571958574156e+01	-9.04478768161635e+01	-1.84117570492772e+01	-9.04299621158351e+01
5.01187233627272e-02	-1.60573013985217e+01	-9.05638400125269e+01	-1.64118543161620e+01	-9.05412871436165e+01
6.30957344480194e-02	-1.40574686652305e+01	-9.07098255513579e+01	-1.44120084698175e+01	-9.06814339747807e+01
7.94328234724282e-02	-1.20577337533645e+01	-9.08936035211334e+01	-1.24122527769302e+01	-9.08578622463579e+01
1.00000000000000e-01	-1.00581538602723e+01	-9.11249524423058e+01	-1.04126399525783e+01	-9.10799600401163e+01
1.25892541179417e-01	-8.05881961083664e+00	-9.14161758787604e+01	-8.41325352176133e+00	-9.13595401774896e+01
1.58489319246111e-01	-6.05987456851662e+00	-9.17827494120234e+01	-6.41422580551583e+00	-9.17114620081387e+01
1.99526231496888e-01	-4.06154609713747e+00	-9.22441283589558e+01	-4.41576637505431e+00	-9.21544081995230e+01
2.51188643150958e-01	-2.06419412026834e+00	-9.28247511472695e+01	-2.41820701831369e+00	-9.27118507233034e+01
3.16227766016838e-01	-6.83880157801383e-02	-9.35552757069727e+01	-4.22072680909178e-01	-9.34132432424834e+01
3.98107170553498e-01	1.92497247419573e+00	-9.44740829145969e+01	1.57180691595404e+00	-9.42954752084512e+01
5.01187233627273e-01	3.91446800683329e+00	-9.56290645373006e+01	3.56212240862437e+00	-9.54046095468204e+01
6.30957344480194e-01	5.89786565997838e+00	-9.70796685875377e+01	5.54681270412478e+00	-9.67978877720946e+01
7.94328234724282e-01	7.87166765638501e+00	-9.88990751397752e+01	7.52264624255785e+00	-9.85458991098146e+01
1.00000000000000e+00	9.83043187249710e+00	-1.01176172823335e+02	9.48458788171287e+00	-1.00734630233684e+02
1.25892541179417e+00	1.17657805998954e+01	-1.04016627031813e+02	1.14248689719401e+01	-1.03466770666374e+02
1.58489319246112e+00	1.36650295062572e+01	-1.07541690656976e+02	1.33316860379800e+01	-1.06861059903207e+02
1.99526231496888e+00	1.55094617995732e+01	-1.11882495301639e+02	1.51875275848920e+01	-1.11047589261853e+02
2.51188643150958e+00	1.72725268948155e+01	-1.17166692251179e+02	1.69673472149218e+01	-1.16156043080486e+02
3.16227766016838e+00	1.89187340122625e+01	-1.23494630290247e+02	1.86372494404227e+01	-1.22293834173020e+02
3.98107170553498e+00	2.04046241784178e+01	-1.30906066432319e+02	2.01549732551830e+01	-1.29514080293516e+02
5.01187233627273e+00	2.16833014539508e+01	-1.39347613846294e+02	2.14737238439019e+01	-1.37781644718048e+02
6.30957344480194e+00	2.27124650282987e+01	-1.48661695766106e+02	2.25497236636087e+01	-1.46956567172416e+02
7.94328234724283e+00	2.34625993331866e+01	-1.58615297347116e+02	2.33507610189781e+01	-1.56815329072745e+02
1.00000000000000e+01	2.39199313954444e+01	-1.68960085629569e+02	2.38604088120187e+01	-1.67107676440203e+02
1.25892541179417e+01	2.40818284814216e+01	-1.79483843718195e+02	2.40746406369136e+01	-1.77613042533176e+02
1.58489319246112e+01	2.39487996265476e+01	1.69984495162998e+02	2.39939045551055e+01	1.71844971515052e+02
1.99526231496888e+01	2.35203650155975e+01	1.59613619131981e+02	2.36178598012561e+01	1.61431865678544e+02
2.51188643150958e+01	2.27985053261257e+01	1.49611052224610e+02	2.29475147175982e+01	1.51346721754937e+02
3.16227766016839e+01	2.17955936620488e+01	1.40223313172957e+02	2.19928482356801e+01	1.41831546035764e+02
3.98107170553498e+01	2.05396120845546e+01	1.31687801314152e+02	2.07790105195188e+01	1.33130088386151e+02
5.01187233627273e+01	1.90719286647999e+01	1.24171431952371e+02	1.93454764244565e+01	1.25425341342724e+02
6.30957344480195e+01	1.74393842999540e+01	1.17737842715364e+02	1.77387767576869e+01	1.18799731076561e+02
7.94328234724283e+01	1.56860398460275e+01	1.12355108500914e+02	1.60039402823634e+01	1.13236341584136e+02
1.00000000000000e+02	1.38482562513638e+01	1.07927226222960e+02	1.41788751722764e+01	1.08647909975181e+02
1.25892541179417e+02	1.19534310658734e+01	1.04327972559458e+02	1.22925394217934e+01	1.04911435079252e+02
1.58489319246112e+02	1.00209713330503e+01	1.01425801390971e+02	1.03656355124367e+01	1.01894991784863e+02
1.99526231496888e+02	8.06407090190950e+00	9.90981272450188e+01	8.41232385986071e+00	9.94737614289131e+01
2.51188643150959e+02	6.09146197658972e+00	9.72376338452916e+01	6.44201349085425e+00	9.75375089644500e+01
3.16227766016839e+02	4.10882454061659e+00	9.57537882390158e+01	4.46084020850601e+00	9.59927459387991e+01
3.98107170553498e+02	2.11981247068894e+00	9.45719195864376e+01	2.47275751339547e+00	9.47621129465494e+01
5.01187233627274e+02	1.26759819851491e-01	9.36312903687210e+01	4.80293437091454e-01	9.37825587935808e+01
6.30957344480195e+02	-1.86884891644264e+00	9.28829187749395e+01	-1.51494314296014e+00	9.30031722521919e+01
7.94328234724284e+02	-3.86607191216796e+00	9.22875098552901e+01	-3.51193113642718e+00	9.23830791149521e+01
